"DateTime","Volume (24h)"
"2014-03-30 20:00:00",57272700
"2014-04-01 20:00:00",46153600
"2014-04-03 20:00:00",55351200
"2014-04-05 20:00:00",18466000
"2014-04-07 20:00:00",22470300
"2014-04-09 20:00:00",17768800
"2014-04-11 20:00:00",82780000
"2014-04-13 20:00:00",33532500
"2014-04-15 20:00:00",39255700
"2014-04-17 20:00:00",56428000
"2014-04-19 20:00:00",34599500
"2014-04-21 20:00:00",24732600
"2014-04-23 20:00:00",16910800
"2014-04-25 20:00:00",70743000
"2014-04-27 20:00:00",19197000
"2014-04-29 20:00:00",24215400
"2014-05-01 20:00:00",21087000
"2014-05-03 20:00:00",15728600
"2014-05-05 20:00:00",14042200
"2014-05-07 20:00:00",26609500
"2014-05-09 20:00:00",19218100
"2014-05-11 20:00:00",18677200
"2014-05-13 20:00:00",13307900
"2014-05-15 20:00:00",17674300
"2014-05-17 20:00:00",8752610
"2014-05-19 20:00:00",11624400
"2014-05-21 20:00:00",21359500
"2014-05-23 20:00:00",60082300
"2014-05-25 20:00:00",66033700
"2014-05-27 20:00:00",53544000
"2014-05-29 20:00:00",34990200
"2014-05-31 20:00:00",28599700
"2014-06-02 20:00:00",62372200
"2014-06-04 20:00:00",50044900
"2014-06-06 20:00:00",28446500
"2014-06-08 20:00:00",19269500
"2014-06-10 20:00:00",28640000
"2014-06-12 20:00:00",60570600
"2014-06-14 20:00:00",45400900
"2014-06-16 20:00:00",35789700
"2014-06-18 20:00:00",27310600
"2014-06-20 20:00:00",32135100
"2014-06-22 20:00:00",17434200
"2014-06-24 20:00:00",20744500
"2014-06-26 20:00:00",21691100
"2014-06-28 20:00:00",20899300
"2014-06-30 20:00:00",57495700
"2014-07-02 20:00:00",39509000
"2014-07-04 20:00:00",29852100
"2014-07-06 20:00:00",16171900
"2014-07-08 20:00:00",17316100
"2014-07-10 20:00:00",23773100
"2014-07-12 20:00:00",22945500
"2014-07-14 20:00:00",19852200
"2014-07-16 20:00:00",19798700
"2014-07-18 20:00:00",21413500
"2014-07-20 20:00:00",10060900
"2014-07-22 20:00:00",14471100
"2014-07-24 20:00:00",28235400
"2014-07-26 20:00:00",14420400
"2014-07-28 20:00:00",24583900
"2014-07-30 20:00:00",20851800
"2014-08-01 20:00:00",23311300
"2014-08-03 20:00:00",13398700
"2014-08-05 20:00:00",14709200
"2014-08-07 20:00:00",17345200
"2014-08-09 20:00:00",13552100
"2014-08-11 20:00:00",24281800
"2014-08-13 20:00:00",36166700
"2014-08-15 20:00:00",29892800
"2014-08-17 20:00:00",29830800
"2014-08-19 20:00:00",50040500
"2014-08-21 20:00:00",63732200
"2014-08-23 20:00:00",31784700
"2014-08-25 20:00:00",29356600
"2014-08-27 20:00:00",33560000
"2014-08-29 20:00:00",24190600
"2014-08-31 20:00:00",54543100
"2014-09-02 20:00:00",29098500
"2014-09-04 20:00:00",33808900
"2014-09-06 20:00:00",16567300
"2014-09-08 20:00:00",37717600
"2014-09-10 20:00:00",31660000
"2014-09-12 20:00:00",21347800
"2014-09-14 20:00:00",26191400
"2014-09-16 20:00:00",24826500
"2014-09-18 20:00:00",48948800
"2014-09-20 20:00:00",48403300
"2014-09-22 20:00:00",29298300
"2014-09-24 20:00:00",37438700
"2014-09-26 20:00:00",31482300
"2014-09-28 20:00:00",29856600
"2014-09-30 20:00:00",39877400
"2014-10-02 20:00:00",26077800
"2014-10-04 20:00:00",56975700
"2014-10-06 20:00:00",94177504
"2014-10-08 20:00:00",64939400
"2014-10-10 20:00:00",52625900
"2014-10-12 20:00:00",22310300
"2014-10-14 20:00:00",49813400
"2014-10-16 20:00:00",34271600
"2014-10-18 20:00:00",16099000
"2014-10-20 20:00:00",22132700
"2014-10-22 20:00:00",17030200
"2014-10-24 20:00:00",21478400
"2014-10-26 20:00:00",15134600
"2014-10-28 20:00:00",12009300
"2014-10-30 20:00:00",35190100
"2014-11-01 20:00:00",40233800
"2014-11-03 19:00:00",16610900
"2014-11-05 19:00:00",24976000
"2014-11-07 19:00:00",21309500
"2014-11-09 19:00:00",28088200
"2014-11-11 19:00:00",20359000
"2014-11-13 19:00:00",76714496
"2014-11-15 19:00:00",20737600
"2014-11-17 19:00:00",48107000
"2014-11-19 19:00:00",23665200
"2014-11-21 19:00:00",35848400
"2014-11-23 19:00:00",20157500
"2014-11-25 19:00:00",33405800
"2014-11-27 19:00:00",18358300
"2014-11-29 19:00:00",21887500
"2014-12-01 19:00:00",18326800
"2014-12-03 19:00:00",17803400
"2014-12-05 19:00:00",20166300
"2014-12-07 19:00:00",10542800
"2014-12-09 19:00:00",40250900
"2014-12-11 19:00:00",38125100
"2014-12-13 19:00:00",16109700
"2014-12-15 19:00:00",23971100
"2014-12-17 19:00:00",50791200
"2014-12-19 19:00:00",39027900
"2014-12-21 19:00:00",21688600
"2014-12-23 19:00:00",24383700
"2014-12-25 19:00:00",14804100
"2014-12-27 19:00:00",20751100
"2014-12-29 19:00:00",17615200
"2014-12-31 19:00:00",19576000
"2015-01-02 19:00:00",12185000
"2015-01-04 19:00:00",67376800
"2015-01-06 19:00:00",29736900
"2015-01-08 19:00:00",27683700
"2015-01-10 19:00:00",22634000
"2015-01-12 19:00:00",23171700
"2015-01-14 19:00:00",109935000
"2015-01-16 19:00:00",45393900
"2015-01-18 19:00:00",34893200
"2015-01-20 19:00:00",27722500
"2015-01-22 19:00:00",37634800
"2015-01-24 19:00:00",32240500
"2015-01-26 19:00:00",123363000
"2015-01-28 19:00:00",51540300
"2015-01-30 19:00:00",30963400
"2015-02-01 19:00:00",34635700
"2015-02-03 19:00:00",45923000
"2015-02-05 19:00:00",29451600
"2015-02-07 19:00:00",24302500
"2015-02-09 19:00:00",32644900
"2015-02-11 19:00:00",20785900
"2015-02-13 19:00:00",47792800
"2015-02-15 19:00:00",62543500
"2015-02-17 19:00:00",30396700
"2015-02-19 19:00:00",20216700
"2015-02-21 19:00:00",14517700
"2015-02-23 19:00:00",18952500
"2015-02-25 19:00:00",13936700
"2015-02-27 19:00:00",48276900
"2015-03-01 19:00:00",29280000
"2015-03-03 19:00:00",57888800
"2015-03-05 19:00:00",47097700
"2015-03-07 19:00:00",21263500
"2015-03-09 20:00:00",65404600
"2015-03-11 20:00:00",38805300
"2015-03-13 20:00:00",36117700
"2015-03-15 20:00:00",14282100
"2015-03-17 20:00:00",24798300
"2015-03-19 20:00:00",59475400
"2015-03-21 20:00:00",19979900
"2015-03-23 20:00:00",25999300
"2015-03-25 20:00:00",40901000
"2015-03-27 20:00:00",19774800
"2015-03-29 20:00:00",23473500
"2015-03-31 20:00:00",26604700
"2015-04-02 20:00:00",28773200
"2015-04-04 20:00:00",14203000
"2015-04-06 20:00:00",22670800
"2015-04-08 20:00:00",33278300
"2015-04-10 20:00:00",32473800
"2015-04-12 20:00:00",14017300
"2015-04-14 20:00:00",34897800
"2015-04-16 20:00:00",27154900
"2015-04-18 20:00:00",14419200
"2015-04-20 20:00:00",20465100
"2015-04-22 20:00:00",26240100
"2015-04-24 20:00:00",23569900
"2015-04-26 20:00:00",31099500
"2015-04-28 20:00:00",23510400
"2015-04-30 20:00:00",37512600
"2015-05-02 20:00:00",13931200
"2015-05-04 20:00:00",23638200
"2015-05-06 20:00:00",31753900
"2015-05-08 20:00:00",29659600
"2015-05-10 20:00:00",17203200
"2015-05-12 20:00:00",22206500
"2015-05-14 20:00:00",26736600
"2015-05-16 20:00:00",12506700
"2015-05-18 20:00:00",19467200
"2015-05-20 20:00:00",18036000
"2015-05-22 20:00:00",37984400
"2015-05-24 20:00:00",18456300
"2015-05-26 20:00:00",24847400
"2015-05-28 20:00:00",24622100
"2015-05-30 20:00:00",22109600
"2015-06-01 20:00:00",33737000
"2015-06-03 20:00:00",24032900
"2015-06-05 20:00:00",24551300
"2015-06-07 20:00:00",18779300
